Tên trường,Địa chỉ,Email,Hiệu trưởng
Đại học Kinh tế Thành phố Hồ Chí Minh,UEH,NaN,NaN
Trường Đại học An ninh nhân dân,T47/T04,NaN,NaN
"Trường Đại học Bách khoa
(ĐHQG TP.HCM)",HCMUT,NaN,NaN
Trường Đại học Cảnh sát nhân dân,T48/T05,NaN,NaN
Trường Đại học Công nghiệp TP.HCM,IUH,NaN,NaN
"Trường Đại học Công nghệ Thông tin
(ĐHQG TP.HCM)",UIT,NaN,NaN
Trường Đại học Công Thương TP.HCM,HUIT,NaN,NaN
Trường Đại học Giao thông Vận tải TP.HCM,UTH,NaN,NaN
Trường Đại học Giao thông Vận tải - Phân hiệu TP.HCM,UTC2,NaN,NaN
"Trường Đại học Khoa học Tự nhiên
(ĐHQG TP.HCM)",HCMUS,NaN,NaN
"Trường Đại học Khoa học Xã hội và Nhân văn
(ĐHQG TP.HCM)",HCMUSSH,NaN,NaN
"Trường Đại học Kinh tế – Luật
(ĐHQG TP.HCM)",HCMUEL,NaN,NaN
Trường Đại học Kiến trúc TP.HCM,UAH,NaN,NaN
Trường Đại học Lao động – Xã hội (Cơ sở 2),ULSA2,NaN,NaN
Trường Đại học Luật TP.HCM,ULAW,NaN,NaN
Trường Đại học Mở TP.HCM,OU,NaN,NaN
Trường Đại học Mỹ thuật TP.HCM,MT,NaN,NaN
Trường Đại học Ngoại thương (Cơ sở 2),FTU2,NaN,NaN
Trường Đại học Ngân hàng TP.HCM,HUB,NaN,NaN
Trường Đại học Nông Lâm TP.HCM,NLU,NaN,NaN
"Trường Đại học Quốc tế
(ĐHQG TP.HCM)",HCMIU,NaN,NaN
Trường Đại học Sài Gòn,SGU,NaN,NaN
Trường Đại học Sân khấu – Điện ảnh TP.HCM,SKDAHCM,NaN,NaN
Trường Đại học Sư phạm Kỹ thuật TP.HCM,HCMUTE,NaN,NaN
Trường Đại học Sư phạm Thể dục Thể thao,UPES,NaN,NaN
Trường Đại học Sư phạm TP.HCM,HCMUE,NaN,NaN
Trường Đại học Thể dục Thể thao TP. HCM,USH,NaN,NaN
Phân hiệu Trường Đại học Thủy lợi,TLUS,NaN,NaN
Trường Đại học Trần Đại Nghĩa,TDNU,NaN,NaN
Trường Đại học Tài chính – Marketing,UFM,NaN,NaN
Trường Đại học Tài nguyên và Môi trường,HCMUNRE,NaN,NaN
Trường Đại học Tôn Đức Thắng,TDTU,NaN,NaN
Trường Đại học Văn hóa TP.HCM,HUC,NaN,NaN
Trường Đại học Việt - Đức,VGU,NaN,NaN
Trường Đại học Thủ Dầu Một,TDMU,NaN,NaN
Đại học Y Dược TP.HCM,UMP,NaN,NaN
Trường Đại học Y khoa Phạm Ngọc Thạch,PNT,NaN,NaN
Khoa Y (ĐHQG TP.HCM),QSY,NaN,NaN
Khoa Chính trị - Hành chính (ĐHQG TP.HCM),SPAS,NaN,NaN
Học viện Cán bộ Thành phố Hồ Chí Minh,HCA,NaN,NaN
Học viện Công nghệ Bưu chính Viễn thông (cơ sở 2),PTIT,NaN,NaN
Học viện Hàng không Việt Nam,VAA,NaN,NaN
Phân hiệu Học viện Hành chính và Quản trị công tại TP.HCM,APAG,NaN,NaN
Phân hiệu Học viện Kỹ thuật Mật mã tại TP.HCM,ACT,NaN,NaN
Học viện Kỹ thuật Quân sự (cơ sở 3),MTA,NaN,NaN
Nhạc viện TP.HCM,HCMCONS,NaN,NaN
Phân hiệu Học viện Thanh thiếu niên Việt Nam tại TP.HCM,VYA,NaN,NaN
Trường Đại học Hoa Sen,HSU,NaN,NaN
Trường Đại học Ngoại ngữ – Tin học TP.HCM,HUFLIT,NaN,NaN
Trường Đại học Hùng Vương TP.HCM,DHV,NaN,NaN
Trường Đại học Văn Lang,VLU,NaN,NaN
Trường Đại học Công nghệ TP.HCM,HUTECH,NaN,NaN
Trường Đại học Quốc tế Hồng Bàng,HIU,NaN,NaN
Trường Đại học Văn Hiến,VHU,NaN,NaN
Trường Đại học Công nghệ Sài Gòn,STU,NaN,NaN
Trường Đại học Nguyễn Tất Thành,NTTU,NaN,NaN
Trường Đại học FPT,FPT,NaN,NaN
Trường Đại học Gia Định,GDU,NaN,NaN
Trường Đại học Kinh tế – Tài chính,UEF,NaN,NaN
Trường Đại học Quốc tế Sài Gòn,SIU,NaN,NaN
Trường Đại học Quản lý và Công nghệ TP.HCM,UMT,NaN,NaN
Trường Kinh doanh Sài Gòn,SBS,NaN,NaN
Đại học RMIT Việt Nam,"RMIT University
Vietnam",NaN,NaN
Đại học Fulbright Việt Nam,"Fulbright University
Vietnam",NaN,NaN
Đại học Quốc Tế Pacific Vietnam University,Pacific Vietnam University,NaN,NaN
Đại học Greenwich Việt Nam,"University Of Greenwich
Vietnam",NaN,NaN
"Đại học Swinburne Việt Nam
(Cơ sở TP.HCM)","Swinburne University of
Technology Vietnam",NaN,NaN
